연도,분기,분기별_연도,지역,전입자수,전출자수
2016,3,201603,충청북도,20021.0,19717.0
2016,4,201604,강원특별자치도,17715.0,17382.0
2016,4,201604,경기도,140411.0,132857.0
2016,4,201604,경상남도,34249.0,33457.0
2016,4,201604,경상북도,25347.0,25404.0
2016,4,201604,광주광역시,18454.0,18693.0
2016,4,201604,대구광역시,25406.0,26339.0
2016,4,201604,대전광역시,15435.0,16238.0
2016,4,201604,부산광역시,36072.0,37103.0
2016,4,201604,서울특별시,117029.0,127687.0
2016,4,201604,세종특별자치시,4349.0,2535.0
2016,4,201604,울산광역시,11855.0,12474.0
2016,4,201604,인천광역시,34492.0,33162.0
2016,4,201604,전국,564228.0,564228.0
2016,4,201604,전라남도,17935.0,18134.0
2016,4,201604,전북특별자치도,18996.0,19508.0
2016,4,201604,제주특별자치도,8217.0,6608.0
2016,4,201604,충청남도,21739.0,20926.0
2016,4,201604,충청북도,16527.0,15721.0
2016,5,201605,강원특별자치도,15995.0,16263.0
2016,5,201605,경기도,152523.0,142146.0
2016,5,201605,경상남도,33272.0,33010.0
2016,5,201605,경상북도,24655.0,24234.0
2016,5,201605,광주광역시,18670.0,18653.0
2016,5,201605,대구광역시,25379.0,26570.0
2016,5,201605,대전광역시,16214.0,17177.0
2016,5,201605,부산광역시,37470.0,39189.0
2016,5,201605,서울특별시,123743.0,135701.0
2016,5,201605,세종특별자치시,4876.0,2598.0
2016,5,201605,울산광역시,13865.0,14317.0
2016,5,201605,인천광역시,36236.0,35585.0
2016,5,201605,전국,589428.0,589428.0
2016,5,201605,전라남도,18097.0,18469.0
2016,5,201605,전북특별자치도,19474.0,20054.0
2016,5,201605,제주특별자치도,8464.0,7006.0
2016,5,201605,충청남도,24471.0,23236.0
2016,5,201605,충청북도,16024.0,15220.0
2016,6,201606,강원특별자치도,15898.0,15126.0
2016,6,201606,경기도,147796.0,137581.0
2016,6,201606,경상남도,32391.0,32116.0
2016,6,201606,경상북도,23520.0,23352.0
2016,6,201606,광주광역시,17556.0,17966.0
2016,6,201606,대구광역시,24418.0,25286.0
2016,6,201606,대전광역시,17211.0,18142.0
2016,6,201606,부산광역시,36668.0,38781.0
2016,6,201606,서울특별시,119398.0,131462.0
2016,6,201606,세종특별자치시,4646.0,2487.0
2016,6,201606,울산광역시,11798.0,12334.0
2016,6,201606,인천광역시,34349.0,33998.0
2016,6,201606,전국,567068.0,567068.0
2016,6,201606,전라남도,17659.0,17721.0
2016,6,201606,전북특별자치도,19922.0,19764.0
2016,6,201606,제주특별자치도,7716.0,6519.0
2016,6,201606,충청남도,21438.0,20051.0
2016,6,201606,충청북도,14684.0,14382.0
2016,7,201607,강원특별자치도,14964.0,14927.0
2016,7,201607,경기도,152101.0,138877.0
2016,7,201607,경상남도,27779.0,27885.0
2016,7,201607,경상북도,21912.0,22327.0
2016,7,201607,광주광역시,15324.0,15522.0
2016,7,201607,대구광역시,25905.0,26394.0
2016,7,201607,대전광역시,16011.0,16489.0
2016,7,201607,부산광역시,32635.0,34565.0
2016,7,201607,서울특별시,110156.0,123001.0
2016,7,201607,세종특별자치시,3703.0,2112.0
2016,7,201607,울산광역시,10411.0,10994.0
2016,7,201607,인천광역시,39043.0,38258.0
2016,7,201607,전국,544890.0,544890.0
2016,7,201607,전라남도,16610.0,17153.0
2016,7,201607,전북특별자치도,16979.0,17243.0
2016,7,201607,제주특별자치도,7137.0,5808.0
2016,7,201607,충청남도,19478.0,18960.0
2016,7,201607,충청북도,14742.0,14375.0
2016,8,201608,강원특별자치도,17116.0,16937.0
2016,8,201608,경기도,182540.0,167422.0
2016,8,201608,경상남도,32183.0,33006.0
2016,8,201608,경상북도,25400.0,26328.0
2016,8,201608,광주광역시,18116.0,18609.0
2016,8,201608,대구광역시,31352.0,31272.0
